ANO,RODADA,MITO_TIME_ID,MITO_NOME_TIME,MITO_PONTOS,MITO_PONTOS_CAMPEONATO,ATLETA_ID,APELIDO,NOME,POSICAO_ID,CLUBE_ID,PRECO,PONTOS_ATLETA,SCOUTS,CAPITAO,RESERVA,TECNICO,ESQUEMA_ID,PATRIMONIO,VALOR_TIME,FONTE,CAPTURADO_EM,RAW_JSON_ATLETA
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,123101,Leozinho,Leonardo Caetano Silva,5,293,7.83,27.6,"{""DS"":5,""FC"":2,""FD"":1,""FS"":1,""FT"":1,""G"":2}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""DS"":5,""FC"":2,""FD"":1,""FS"":1,""FT"":1,""G"":2},""jogos_num"":6,""atleta_id"":123101,""rodada_id"":19,""clube_id"":293,""posicao_id"":5,""status_id"":7,""pontos_num"":27.6,""media_num"":5.18,""variacao_num"":5.67,""preco_num"":7.83,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Leozinho"",""apelido_abreviado"":""Leozinho"",""nome"":""Leonardo Caetano Silva"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,69208,Gabriel Paulista,Gabriel Armando de Abreu,3,264,9.6,5.2,"{""CA"":1,""DS"":1,""FC"":1,""SG"":1}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""CA"":1,""DS"":1,""FC"":1,""SG"":1},""jogos_num"":14,""atleta_id"":69208,""rodada_id"":19,""clube_id"":264,""posicao_id"":3,""status_id"":7,""pontos_num"":5.2,""media_num"":4.79,""variacao_num"":0.3,""preco_num"":9.6,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Gabriel Paulista"",""apelido_abreviado"":""G. Paulista"",""nome"":""Gabriel Armando de Abreu"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,72391,Fernando Diniz,Fernando Diniz Silva,6,264,9.89,10.48,"{""V"":1}",NAO,NAO,SIM,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""V"":1},""jogos_num"":12,""atleta_id"":72391,""rodada_id"":19,""clube_id"":264,""posicao_id"":6,""status_id"":7,""pontos_num"":10.48,""media_num"":5.81,""variacao_num"":0.63,""preco_num"":9.89,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Fernando Diniz"",""apelido_abreviado"":""F. Diniz"",""nome"":""Fernando Diniz Silva"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,99815,Arias,Jhon Adolfo Arias Andrade,4,275,14.1,5.4,"{""DS"":1,""FC"":2,""FS"":3,""FT"":1}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""DS"":1,""FC"":2,""FS"":3,""FT"":1},""jogos_num"":14,""atleta_id"":99815,""rodada_id"":19,""clube_id"":275,""posicao_id"":4,""status_id"":7,""pontos_num"":5.4,""media_num"":6.41,""variacao_num"":0.33,""preco_num"":14.1,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Arias"",""apelido_abreviado"":""Arias"",""nome"":""Jhon Adolfo Arias Andrade"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,105531,Matheus Bidu,Matheus Lima Beltrão Oliveira Valin,2,264,13.3,9.7,"{""DS"":3,""FC"":1,""FS"":1,""SG"":1}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""DS"":3,""FC"":1,""FS"":1,""SG"":1},""jogos_num"":15,""atleta_id"":105531,""rodada_id"":19,""clube_id"":264,""posicao_id"":2,""status_id"":6,""pontos_num"":9.7,""media_num"":7.86,""variacao_num"":0.47,""preco_num"":13.3,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Matheus Bidu"",""apelido_abreviado"":""M. Bidu"",""nome"":""Matheus Lima Beltrão Oliveira Valin"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,94583,Pedro,Pedro Guilherme Abreu dos Santos,5,262,18.63,18.8,"{""FD"":1,""FF"":2,""G"":2}",SIM,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""FD"":1,""FF"":2,""G"":2},""jogos_num"":17,""atleta_id"":94583,""rodada_id"":19,""clube_id"":262,""posicao_id"":5,""status_id"":7,""pontos_num"":18.8,""media_num"":9.41,""variacao_num"":0.13,""preco_num"":18.63,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Pedro"",""apelido_abreviado"":""Pedro"",""nome"":""Pedro Guilherme Abreu dos Santos"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,101727,Matheuzinho,Matheus França Silva,2,264,11.25,11.6,"{""DS"":3,""FC"":1,""FD"":1,""FF"":1,""FS"":1,""I"":1,""SG"":1}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""DS"":3,""FC"":1,""FD"":1,""FF"":1,""FS"":1,""I"":1,""SG"":1},""jogos_num"":14,""atleta_id"":101727,""rodada_id"":19,""clube_id"":264,""posicao_id"":2,""status_id"":7,""pontos_num"":11.6,""media_num"":5.5,""variacao_num"":1.05,""preco_num"":11.25,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Matheuzinho"",""apelido_abreviado"":""Matheuzinho"",""nome"":""Matheus França Silva"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,100652,Yuri Alberto,Yuri Alberto Monteiro da Silva,5,264,12.95,19.9,"{""DS"":2,""FC"":2,""FF"":2,""G"":2,""I"":1}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""DS"":2,""FC"":2,""FF"":2,""G"":2,""I"":1},""jogos_num"":15,""atleta_id"":100652,""rodada_id"":19,""clube_id"":264,""posicao_id"":5,""status_id"":7,""pontos_num"":19.9,""media_num"":4.46,""variacao_num"":1.24,""preco_num"":12.95,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Yuri Alberto"",""apelido_abreviado"":""Y. Alberto"",""nome"":""Yuri Alberto Monteiro da Silva"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,96610,Matheus Pereira,Matheus Fellipe Costa Pereira,4,283,15.25,13.9,"{""CA"":1,""DS"":3,""FC"":1,""FF"":1,""FS"":4,""G"":1,""I"":1}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""CA"":1,""DS"":3,""FC"":1,""FF"":1,""FS"":4,""G"":1,""I"":1},""jogos_num"":17,""atleta_id"":96610,""rodada_id"":19,""clube_id"":283,""posicao_id"":4,""status_id"":3,""pontos_num"":13.9,""media_num"":6.53,""variacao_num"":-0.02,""preco_num"":15.25,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Matheus Pereira"",""apelido_abreviado"":""M. Pereira"",""nome"":""Matheus Fellipe Costa Pereira"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png"",""craque"":0}"
2026,19,44621481,GIRASSOL 107A,164.580078125,1433.4765625,101574,Hugo Souza,Hugo de Souza Nogueira,1,264,9.37,5,"{""SG"":1}",NAO,NAO,NAO,3,146.78,0,https://api.cartolafc.globo.com/time/id/44621481/19,2026-08-30T13:01:43Z,"{""scout"":{""SG"":1},""jogos_num"":16,""atleta_id"":101574,""rodada_id"":19,""clube_id"":264,""posicao_id"":1,""status_id"":7,""pontos_num"":5,""media_num"":4.07,""variacao_num"":0.58,""preco_num"":9.37,""entrou_em_campo"":true,""slug"":"""",""apelido"":""Hugo Souza"",""apelido_abreviado"":""H. Souza"",""nome"":""Hugo de Souza Nogueira"",""foto"":""https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png"",""craque"":0}"
